"time","level","v1","v2","q_in","q_out","v1_cmd","v2_cmd"
44.5,161.6900000012135,0.9999999998362775,0.0,3.7999999993778544,0.0,1,0
45.0,163.59000000094215,0.9999999998728974,0.0,3.79999999951701,0.0,1,0
45.5,165.49000000073147,0.9999999999013265,0.0,3.7999999996250406,0.0,1,0
46.0,167.39000000056794,0.9999999999233967,0.0,3.7999999997089073,0.0,1,0
46.5,169.29000000044095,0.9999999999405307,0.0,3.7999999997740166,0.0,1,0
47.0,171.1900000003424,0.9999999999538323,0.0,3.7999999998245624,0.0,1,0
47.5,173.09000000026586,0.9999999999641588,0.0,3.799999999863803,0.0,1,0
48.0,174.9900000002064,0.9999999999721753,0.0,3.7999999998942657,0.0,1,0
48.5,176.89000000016028,0.999999999978399,0.0,3.7999999999179157,0.0,1,0
49.0,178.79000000012448,0.9999999999832305,0.0,3.7999999999362757,0.0,1,0
49.5,180.69000000009672,0.9999999999869814,0.0,3.799999999950529,0.0,1,0
50.0,182.5900000000751,0.9999999999898932,0.0,3.799999999961594,0.0,1,0
50.5,184.49000000005833,0.9999999999921537,0.0,3.799999999970184,0.0,1,0
51.0,186.3900000000453,0.999999999993909,0.0,3.799999999976854,0.0,1,0
51.5,188.29000000003515,0.9999999999952712,0.0,3.7999999999820306,0.0,1,0
52.0,190.19000000002734,0.9999999999963289,0.0,3.7999999999860496,0.0,1,0
52.5,192.09000000002126,0.99999999999715,0.0,3.79999999998917,0.0,1,0
53.0,193.99000000001655,0.9999999999977874,0.0,3.799999999991592,0.0,1,0
53.5,195.8900000000129,0.9999999999982824,0.0,3.799999999993473,0.0,1,0
54.0,197.79000000001002,0.9999999999986666,0.0,3.799999999994933,0.0,1,0
54.5,199.6900000000078,0.9999999999989648,0.0,3.799999999996066,0.0,1,0
55.0,201.5900000000061,0.9999999999991963,0.0,3.799999999996946,0.0,1,0
55.5,203.49000000000478,0.999999999999376,0.0,3.799999999997629,0.0,1,0
56.0,205.39000000000374,0.9999999999995157,0.0,3.7999999999981595,0.0,1,0
56.5,207.29000000000292,0.9999999999996241,0.0,3.799999999998571,0.0,1,0
57.0,209.19000000000233,0.9999999999997081,0.0,3.7999999999988905,0.0,1,0
57.5,211.0900000000018,0.9999999999997733,0.0,3.7999999999991383,0.0,1,0
58.0,212.9900000000015,0.9999999999998241,0.0,3.7999999999993315,0.0,1,0
58.5,214.89000000000118,0.9999999999998637,0.0,3.7999999999994816,0.0,1,0
59.0,216.79000000000087,0.9999999999998941,0.0,3.7999999999995975,0.0,1,0
59.5,218.69000000000065,0.9999999999999177,0.0,3.799999999999687,0.0,1,0
60.0,220.59000000000063,0.9999999999999363,0.0,3.799999999999758,0.0,1,0
60.5,222.4900000000006,0.9999999999999505,0.0,3.7999999999998115,0.0,1,0
61.0,224.39000000000058,0.9999999999999616,0.0,3.7999999999998537,0.0,1,0
61.5,226.29000000000056,0.9999999999999701,0.0,3.799999999999886,0.0,1,0
62.0,228.19000000000054,0.9999999999999768,0.0,3.7999999999999114,0.0,1,0
62.5,230.09000000000052,0.9999999999999819,0.0,3.799999999999931,0.0,1,0
63.0,231.9900000000005,0.9999999999999859,0.0,3.799999999999946,0.0,1,0
63.5,233.89000000000047,0.9999999999999891,0.0,3.7999999999999585,0.0,1,0
64.0,235.79000000000045,0.9999999999999913,0.0,3.799999999999967,0.0,1,0
64.5,237.69000000000042,0.9999999999999936,0.0,3.7999999999999754,0.0,1,0
65.0,239.5900000000004,0.9999999999999947,0.0,3.7999999999999794,0.0,1,0
65.5,241.49000000000038,0.9999999999999958,0.0,3.799999999999984,0.0,1,0
66.0,243.39000000000036,0.9999999999999969,0.0,3.799999999999988,0.0,1,0
66.5,245.29000000000033,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
67.0,247.1900000000003,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
67.5,249.0900000000003,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
68.0,250.99000000000026,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
68.5,252.89000000000024,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
69.0,254.79000000000022,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
69.5,256.6900000000002,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
70.0,258.5900000000002,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
70.5,260.4900000000002,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
71.0,262.39000000000016,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
71.5,264.29000000000013,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
72.0,266.1900000000001,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
72.5,268.0900000000001,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
73.0,269.99000000000007,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
73.5,271.89000000000004,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
74.0,273.79,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
74.5,275.69,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
75.0,277.59,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
75.5,279.48999999999995,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
76.0,281.38999999999993,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
76.5,283.2899999999999,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
77.0,285.1899999999999,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
77.5,287.08999999999986,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
78.0,288.98999999999984,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
78.5,290.8899999999998,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
79.0,292.7899999999998,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
79.5,294.68999999999977,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
80.0,296.58999999999975,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
80.5,298.4899999999997,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
