"time","temp","T_env","heater"
129.0,18.10624576274339,11.668649532790553,0
129.5,17.942965663880862,11.327893981022974,0
130.0,17.767087904192387,10.596167319867128,0
130.5,17.58176096887162,10.016541891130698,0
131.0,17.395093719049047,10.187063583367163,0
131.5,17.216220521507424,10.069311628879994,0
132.0,17.037626986525627,10.0,0
132.5,16.863436943545974,10.0,0
133.0,16.693558321323827,10.0,0
133.5,16.54147963727498,10.721371323287947,0
134.0,16.40505462064388,11.118846161497894,0
134.5,16.286568268209397,11.834318758745615,0
135.0,16.187781187302065,12.623008226676149,0
135.5,16.114308227415258,13.48935003370314,0
136.0,16.057775984903838,14.042261194134305,0
136.5,16.016741391557115,14.881205059702816,0
137.0,16.002648644142056,16.0205081846331,0
137.5,16.004841247589276,16.278150400896692,0
138.0,16.034794998983845,17.74685690824628,0
138.5,16.090914631236295,18.685347877112775,0
139.0,16.170351622514552,19.776012766864433,0
139.5,16.274696366637755,20.80989246295699,0
140.0,16.400693431995283,21.644608194249173,0
140.5,16.542398284521166,22.35248942793912,0
141.0,16.699820959566633,23.42391053598348,0
141.5,16.873394971172925,23.8624666332707,0
142.0,17.056260346738217,24.587517183961456,0
142.5,17.247432929479857,24.833419413409707,0
143.0,17.438777107210594,25.0,0
143.5,17.625926801730557,25.0,0
144.0,17.807125594080304,24.85749865355266,0
144.5,17.98260688522435,24.84396576400309,0
145.0,18.15190541086664,24.63183063442304,0
145.5,18.309553363484323,24.449577661459102,0
146.0,18.456949466973416,24.03246071114561,0
146.5,18.585053399738843,23.46175324270967,0
147.0,18.694639705934268,22.64131800531097,0
147.5,18.781079108626084,21.9725323740497,0
148.0,18.851463947812473,21.25388343767045,0
148.5,18.900808964017706,20.548163418594733,0
149.0,18.926184752273624,19.562961038875272,0
149.5,18.927727342331547,18.312565174705828,0
150.0,18.90116391669017,17.67664601779021,0
150.5,18.85554846975521,16.49053276437253,0
151.0,18.78262855447415,15.527089007057938,0
151.5,18.688807693206392,14.55208855676063,0
152.0,18.56795158722405,13.441552789311071,0
152.5,18.435047487110328,12.945129851533618,0
153.0,18.294438598240497,12.670475009488168,0
153.5,18.144009856981818,11.90432858067055,0
154.0,17.98073966234125,11.313943581503821,0
154.5,17.80754064634962,10.84558439895632,0
155.0,17.6275857891591,10.449422049162013,0
155.5,17.446323270975387,10.344365865496147,0
156.0,17.264830342382606,10.044152132548184,0
156.5,17.088063996813812,10.32951811113751,0
157.0,16.922540619974217,10.507584246375234,0
157.5,16.77110603812271,10.62740049958563,0
158.0,16.632016096558022,11.429027455639531,0
158.5,16.508467499004844,11.762697439990772,0
159.0,16.39918000364793,12.252515318699327,0
159.5,16.30716610480813,13.062766791188213,0
160.0,16.245550837203577,14.26218654512762,0
160.5,16.206321701872987,14.992767818532995,0
161.0,16.18905527901314,15.958839015894462,0
161.5,16.196790220605212,16.9148616253422,0
162.0,16.227721780705846,18.013259062509338,0
162.5,16.287882487944273,18.90885486792569,0
163.0,16.370066506627488,20.04601215331426,0
163.5,16.477123411261918,20.806334677784104,0
164.0,16.59839733985942,21.696626676727213,0
164.5,16.741458008215492,22.78195723217153,0
165.0,16.897730753353482,23.23593943528276,0
165.5,17.066716147243955,24.149122089651037,0
166.0,17.25020931955619,24.658056579129955,0
166.5,17.440796443788717,25.0,0
167.0,17.6278961572105,25.0,0
167.5,17.81036491943456,25.0,0
168.0,17.98697896428597,24.957858930980336,0
168.5,18.16055997930241,25.0,0
169.0,18.32984464776282,25.0,0
169.5,18.48978867421184,24.729617583260335,0
170.0,18.636594900597576,24.134564040955603,0
170.5,18.75973980196584,23.27214025864037,0
171.0,18.861848089176828,22.734161231445583,0
171.5,18.945643248496783,22.15377292660367,0
172.0,19.010296713670463,21.3146140638628,0
172.5,19.055068987440624,20.307039647402352,0
173.0,19.068452928060786,19.156000534151588,0
173.5,19.055931032881556,18.087110989460285,0
174.0,19.016808013158514,17.22656855204837,0
174.5,18.962672436803416,16.332211941521244,0
175.0,18.89065012543002,15.84536945541473,0
175.5,18.798358636823284,14.6048630484279,0
176.0,18.680142224025822,13.613291737064317,0
176.5,18.53325684525907,12.397056005051837,0
177.0,18.370525962196407,11.739897437906137,0
177.5,18.200423390422355,11.231980284754686,0
178.0,18.013783781285365,10.394729176642922,0
178.5,17.82127951088828,10.236082009875995,0
179.0,17.632041557652745,10.140929723288751,0
179.5,17.444094805971844,10.0,0
180.0,17.259844177645064,10.0,0
180.5,17.087023471329694,10.49564196637667,0
181.0,16.92826555073786,10.959690709264901,0
181.5,16.78494082833148,11.257121515967789,0
182.0,16.65404902698804,11.725091891618632,0
182.5,16.534061569094575,11.829264231591132,0
183.0,16.428109651872543,12.517944604678558,0
183.5,16.340759326647834,13.278645426145525,0
184.0,16.27486838762849,14.047388161370192,0
184.5,16.232374794838012,14.913629544243904,0
185.0,16.20997635697236,15.588645231297548,0
185.5,16.20568000549819,16.34761979015071,0
186.0,16.22791160481605,17.492819755226552,0
186.5,16.274706695511956,18.491687480931223,0
187.0,16.345864579789136,19.764210203441557,0
187.5,16.441007404617007,20.497289437428254,0
188.0,16.559128825337087,21.64401945998813,0
188.5,16.698321600434948,22.29424651953854,0
189.0,16.845487253164116,22.788417459795152,0
189.5,17.005188936158607,23.59651133958534,0
190.0,17.176894970292093,24.30189875771635,0
190.5,17.353219994455415,24.366886440544715,0
191.0,17.536239777231952,24.953948271947684,0
191.5,17.720977149144815,25.0,0
192.0,17.898956788114493,24.758882068099986,0
192.5,18.069966328386744,24.762695632798323,0
193.0,18.238438041304043,24.93732433872621,0
193.5,18.39557347425725,24.46113788956531,0
194.0,18.539209464436755,24.1365037474261,0
194.5,18.67444821096509,23.78762564302431,0
195.0,18.788396207431955,23.04091594484722,0
195.5,18.875077399912747,22.218446783609405,0
196.0,18.943962299037914,21.278292588244813,0
196.5,18.99316919856516,20.54227911114898,0
197.0,19.018753989382628,19.72988686333689,0
197.5,19.020385779000943,18.835061369353237,0
198.0,19.0059774140024,18.084299405509483,0
198.5,18.976051783450362,17.55306856517575,0
199.0,18.926221235908613,16.61677542002913,0
199.5,18.85254458382312,15.680920712261894,0
