time,tank1_level,tank2_level,v1_cmd,v2_cmd,v3_cmd,q_transfer
334.0,116.0000000000179,1220.0,1,1,0,5.0
335.0,115.00000000001796,1225.0,1,1,0,5.0
336.0,114.00000000001802,1230.0,1,1,0,5.0
337.0,113.00000000001808,1235.0,1,1,0,5.0
338.0,112.00000000001813,1240.0,1,1,0,5.0
339.0,111.00000000001819,1245.0,1,1,0,5.0
340.0,110.00000000001825,1250.0,1,1,0,5.0
341.0,109.0000000000183,1255.0,1,1,0,5.0
342.0,108.00000000001836,1260.0,1,1,0,5.0
343.0,107.00000000001842,1265.0,1,1,0,5.0
344.0,106.00000000001847,1270.0,1,1,0,5.0
345.0,105.00000000001853,1275.0,1,1,0,5.0
346.0,104.00000000001859,1280.0,1,1,0,5.0
347.0,103.00000000001864,1285.0,1,1,0,5.0
348.0,102.0000000000187,1290.0,1,1,0,5.0
349.0,101.00000000001876,1295.0,1,1,0,5.0
350.0,100.00000000001882,1300.0,1,1,0,5.0
351.0,99.00000000001887,1305.0,1,1,0,5.0
352.0,98.00000000001893,1310.0,1,1,0,5.0
353.0,97.00000000001899,1315.0,1,1,0,5.0
354.0,96.00000000001904,1320.0,1,1,0,5.0
355.0,95.0000000000191,1325.0,1,1,0,5.0
356.0,94.00000000001916,1330.0,1,1,0,5.0
357.0,93.00000000001921,1335.0,1,1,0,5.0
358.0,92.00000000001927,1340.0,1,1,0,5.0
359.0,91.00000000001933,1345.0,1,1,0,5.0
360.0,90.00000000001938,1350.0,1,1,0,5.0
361.0,94.00000000001944,1350.0,1,0,0,0.0
362.0,98.0000000000195,1350.0,1,0,0,0.0
363.0,102.00000000001955,1350.0,1,0,0,0.0
364.0,106.00000000001961,1350.0,1,0,0,0.0
365.0,110.00000000001967,1350.0,1,0,0,0.0
366.0,114.00000000001972,1350.0,1,0,0,0.0
367.0,118.00000000001978,1350.0,1,0,0,0.0
368.0,122.00000000001984,1350.0,1,0,0,0.0
369.0,126.0000000000199,1350.0,1,0,0,0.0
370.0,130.00000000001995,1350.0,1,0,0,0.0
371.0,134.00000000002,1350.0,1,0,0,0.0
372.0,138.00000000002007,1350.0,1,0,0,0.0
373.0,142.00000000002012,1350.0,1,0,0,0.0
374.0,146.00000000002018,1350.0,1,0,0,0.0
375.0,150.00000000002024,1350.0,1,0,0,0.0
376.0,149.0000000000203,1355.0,1,1,0,5.0
377.0,148.00000000002035,1360.0,1,1,0,5.0
378.0,147.0000000000204,1365.0,1,1,0,5.0
379.0,146.00000000002046,1370.0,1,1,0,5.0
380.0,145.00000000002052,1375.0,1,1,0,5.0
381.0,144.00000000002058,1380.0,1,1,0,5.0
382.0,143.00000000002063,1385.0,1,1,0,5.0
383.0,142.0000000000207,1390.0,1,1,0,5.0
384.0,141.00000000002075,1395.0,1,1,0,5.0
385.0,140.0000000000208,1400.0,1,1,0,5.0
386.0,139.00000000002086,1405.0,1,1,0,5.0
387.0,138.00000000002092,1410.0,1,1,0,5.0
388.0,137.00000000002098,1415.0,1,1,0,5.0
389.0,136.00000000002103,1420.0,1,1,0,5.0
390.0,135.0000000000211,1425.0,1,1,0,5.0
391.0,134.00000000002115,1430.0,1,1,0,5.0
392.0,133.0000000000212,1435.0,1,1,0,5.0
393.0,132.00000000002126,1440.0,1,1,0,5.0
394.0,131.00000000002132,1445.0,1,1,0,5.0
395.0,130.00000000002137,1450.0,1,1,0,5.0
396.0,129.00000000002143,1455.0,1,1,0,5.0
397.0,128.0000000000215,1460.0,1,1,0,5.0
398.0,127.00000000002154,1465.0,1,1,0,5.0
399.0,126.0000000000216,1470.0,1,1,0,5.0
400.0,125.00000000002166,1475.0,1,1,0,5.0
401.0,124.00000000002171,1480.0,1,1,0,5.0
402.0,123.00000000002177,1485.0,1,1,0,5.0
403.0,122.00000000002183,1490.0,1,1,0,5.0
404.0,121.00000000002188,1495.0,1,1,0,5.0
405.0,120.00000000002194,1500.0,1,1,0,5.0
406.0,119.000000000022,1505.0,1,1,0,5.0
407.0,118.00000000002206,1510.0,1,1,0,5.0
408.0,117.00000000002211,1515.0,1,1,0,5.0
409.0,116.00000000002217,1520.0,1,1,0,5.0
410.0,115.00000000002223,1525.0,1,1,0,5.0
411.0,114.00000000002228,1530.0,1,1,0,5.0
412.0,113.00000000002234,1535.0,1,1,0,5.0
413.0,112.0000000000224,1540.0,1,1,0,5.0
414.0,111.00000000002245,1545.0,1,1,0,5.0
415.0,110.00000000002251,1550.0,1,1,0,5.0
416.0,109.00000000002257,1555.0,1,1,0,5.0
417.0,108.00000000002262,1560.0,1,1,0,5.0
418.0,107.00000000002268,1565.0,1,1,0,5.0
419.0,106.00000000002274,1570.0,1,1,0,5.0
420.0,105.0000000000228,1575.0,1,1,0,5.0
421.0,104.00000000002285,1580.0,1,1,0,5.0
422.0,103.00000000002291,1585.0,1,1,0,5.0
423.0,102.00000000002296,1590.0,1,1,0,5.0
424.0,101.00000000002302,1595.0,1,1,0,5.0
425.0,100.00000000002308,1600.0,1,1,0,5.0
426.0,99.00000000002314,1605.0,1,1,0,5.0
427.0,98.00000000002319,1610.0,1,1,0,5.0
428.0,97.00000000002325,1615.0,1,1,0,5.0
429.0,96.0000000000233,1620.0,1,1,0,5.0
430.0,95.00000000002336,1625.0,1,1,0,5.0
431.0,94.00000000002342,1630.0,1,1,0,5.0
432.0,93.00000000002348,1635.0,1,1,0,5.0
433.0,92.00000000002353,1640.0,1,1,0,5.0
434.0,91.00000000002359,1645.0,1,1,0,5.0
435.0,90.00000000002365,1650.0,1,1,0,5.0
436.0,94.0000000000237,1650.0,1,0,0,0.0
437.0,98.00000000002376,1650.0,1,0,0,0.0
438.0,102.00000000002382,1650.0,1,0,0,0.0
439.0,106.00000000002387,1650.0,1,0,0,0.0
440.0,110.00000000002393,1650.0,1,0,0,0.0
441.0,114.00000000002399,1650.0,1,0,0,0.0
442.0,118.00000000002404,1650.0,1,0,0,0.0
443.0,122.0000000000241,1650.0,1,0,0,0.0
444.0,126.00000000002416,1650.0,1,0,0,0.0
445.0,130.00000000002422,1650.0,1,0,0,0.0
446.0,134.00000000002427,1650.0,1,0,0,0.0
447.0,138.00000000002433,1650.0,1,0,0,0.0
448.0,142.0000000000244,1650.0,1,0,0,0.0
449.0,146.00000000002444,1650.0,1,0,0,0.0
450.0,150.0000000000245,1650.0,1,0,0,0.0
451.0,149.00000000002456,1655.0,1,1,0,5.0
452.0,148.0000000000246,1660.0,1,1,0,5.0
453.0,147.00000000002467,1665.0,1,1,0,5.0
454.0,146.00000000002473,1670.0,1,1,0,5.0
455.0,145.00000000002478,1675.0,1,1,0,5.0
456.0,144.00000000002484,1680.0,1,1,0,5.0
457.0,143.0000000000249,1685.0,1,1,0,5.0
458.0,142.00000000002495,1690.0,1,1,0,5.0
459.0,141.000000000025,1695.0,1,1,0,5.0
460.0,140.00000000002507,1700.0,1,1,0,5.0
461.0,139.00000000002512,1705.0,1,1,0,5.0
462.0,138.00000000002518,1710.0,1,1,0,5.0
463.0,137.00000000002524,1715.0,1,1,0,5.0
464.0,136.0000000000253,1720.0,1,1,0,5.0
465.0,135.00000000002535,1725.0,1,1,0,5.0
466.0,134.0000000000254,1730.0,1,1,0,5.0
467.0,133.00000000002547,1735.0,1,1,0,5.0
468.0,132.00000000002552,1740.0,1,1,0,5.0
469.0,131.00000000002558,1745.0,1,1,0,5.0
470.0,130.00000000002564,1750.0,1,1,0,5.0
471.0,129.0000000000257,1755.0,1,1,0,5.0
472.0,128.00000000002575,1760.0,1,1,0,5.0
473.0,127.0000000000258,1765.0,1,1,0,5.0
474.0,126.00000000002586,1770.0,1,1,0,5.0
475.0,125.00000000002592,1775.0,1,1,0,5.0
476.0,124.00000000002598,1780.0,1,1,0,5.0
477.0,123.00000000002603,1785.0,1,1,0,5.0
478.0,122.00000000002609,1790.0,1,1,0,5.0
479.0,121.00000000002615,1795.0,1,1,0,5.0
480.0,120.0000000000262,1800.0,1,1,0,5.0
481.0,119.00000000002626,1805.0,1,1,0,5.0
482.0,118.00000000002632,1810.0,1,1,0,5.0
483.0,117.00000000002638,1815.0,1,1,0,5.0
484.0,116.00000000002643,1820.0,1,1,0,5.0
485.0,115.00000000002649,1825.0,1,1,0,5.0
486.0,114.00000000002655,1830.0,1,1,0,5.0
487.0,113.0000000000266,1835.0,1,1,0,5.0
488.0,112.00000000002666,1840.0,1,1,0,5.0
489.0,111.00000000002672,1845.0,1,1,0,5.0
490.0,110.00000000002677,1850.0,1,1,0,5.0
491.0,109.00000000002683,1855.0,1,1,0,5.0
492.0,108.00000000002689,1860.0,1,1,0,5.0
493.0,107.00000000002694,1865.0,1,1,0,5.0
494.0,106.000000000027,1870.0,1,1,0,5.0
495.0,105.00000000002706,1875.0,1,1,0,5.0
496.0,104.00000000002711,1880.0,1,1,0,5.0
497.0,103.00000000002717,1885.0,1,1,0,5.0
498.0,102.00000000002723,1890.0,1,1,0,5.0
499.0,101.00000000002728,1895.0,1,1,0,5.0
500.0,100.00000000002734,1900.0,1,1,0,5.0
501.0,99.0000000000274,1905.0,1,1,0,5.0
502.0,98.00000000002746,1910.0,1,1,0,5.0
503.0,97.00000000002751,1915.0,1,1,0,5.0
504.0,96.00000000002757,1920.0,1,1,0,5.0
505.0,95.00000000002763,1925.0,1,1,0,5.0
506.0,94.00000000002768,1930.0,1,1,0,5.0
507.0,93.00000000002774,1935.0,1,1,0,5.0
508.0,92.0000000000278,1940.0,1,1,0,5.0
509.0,91.00000000002785,1945.0,1,1,0,5.0
510.0,90.00000000002791,1950.0,1,1,0,5.0
511.0,94.00000000002797,1950.0,1,0,0,0.0
512.0,98.00000000002802,1950.0,1,0,0,0.0
513.0,102.00000000002808,1950.0,1,0,0,0.0
514.0,106.00000000002814,1950.0,1,0,0,0.0
515.0,110.0000000000282,1950.0,1,0,0,0.0
516.0,114.00000000002825,1950.0,1,0,0,0.0
517.0,118.00000000002831,1950.0,1,0,0,0.0
518.0,122.00000000002836,1950.0,1,0,0,0.0
519.0,126.00000000002842,1950.0,1,0,0,0.0
520.0,130.00000000002848,1950.0,1,0,0,0.0
521.0,134.00000000002854,1950.0,1,0,0,0.0
522.0,138.0000000000286,1950.0,1,0,0,0.0
